[ 2016-10-05T14:40:06+08:00 ] /wd/index.php/Ask/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-10-05T14:40:09+08:00 ] /wd/index.php/List/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.025001s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 17 行.
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT `pid` FROM `hd_category` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.013000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('31','25','44') ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('31','25','44') ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.001000s ]
[ 2016-10-05T14:40:10+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_template ] --START--
